Time,East Arjun Nagar-Delhi CPCB/Nitrogen Dioxide(NO2),East Arjun Nagar-Delhi CPCB/Toluene(TOLUENE),East Arjun Nagar-Delhi CPCB/Benzene(BENZENE),East Arjun Nagar-Delhi CPCB/Mercury(Hg),East Arjun Nagar-Delhi CPCB/SO2(SO2),East Arjun Nagar-Delhi CPCB/Nitric Oxide(NO),East Arjun Nagar-Delhi CPCB/Ozone(O3),East Arjun Nagar-Delhi CPCB/Xylene(pXy),East Arjun Nagar-Delhi CPCB/Formaldehyde(For)
05/04/2016 12:00:00,7.85,20.77,,11.81,32.56,10.13,15.11,19.05,11.15
05/04/2016 13:00:00,5.3,9.76,,10.97,31.22,12.24,15.11,11.41,11.54
05/04/2016 14:00:00,7.29,24.09,6.95,14.1,20.74,10.43,13.27,9.42,31.18
05/04/2016 15:00:00,9.95,12.28,5.43,5.86,48.36,8.77,8.17,11.77,24.08
05/04/2016 16:00:00,12.97,13.92,8.29,13.79,51.19,11.35,11.35,8.93,8.65
05/04/2016 17:00:00,14.55,20.37,6.47,21.45,16.98,10.75,5.91,12.24,7.41
05/04/2016 18:00:00,9.33,17.71,6.93,20.98,5.57,4.98,4.38,14.25,11.68
05/04/2016 19:00:00,7.96,20.76,5.01,33.14,14.95,9.16,11.26,9.48,10.62
05/04/2016 20:00:00,31.65,18.34,10.45,11.13,25.54,12.27,12.27,16.33,30.5
05/04/2016 21:00:00,15.27,17.16,4.82,15.11,35.24,13.79,13.79,10.54,18.36
05/04/2016 22:00:00,8.45,13.09,26.27,12.66,57.87,8.37,8.13,9.32,61.03
05/04/2016 23:00:00,33.22,18.36,5.46,13.6,15.84,11.05,11.05,11.8,14.91
06/04/2016 00:00:00,9.57,12.31,5.44,13.63,31.62,17.66,17.76,11.34,15.26
06/04/2016 01:00:00,11.81,16.88,7.62,11.91,85.9,7.17,6.98,9.47,18.59
06/04/2016 02:00:00,11.41,17.53,6.48,8.63,43.91,8.59,8.61,9.62,14.33
06/04/2016 03:00:00,9.45,13.3,4.33,9.33,73.63,10.19,8.14,10.8,17.49
06/04/2016 04:00:00,12.28,8.75,6.0,15.92,23.61,13.39,13.39,8.88,14.34
06/04/2016 05:00:00,13.55,11.59,13.25,13.35,46.42,13.83,15.31,14.2,15.97
06/04/2016 06:00:00,12.21,12.68,4.85,15.21,27.7,12.21,12.21,13.26,15.56
06/04/2016 07:00:00,18.03,20.5,4.9,16.8,14.8,29.44,27.07,18.57,17.99
06/04/2016 08:00:00,15.75,10.91,30.54,15.24,53.41,13.17,13.17,20.15,14.37
06/04/2016 09:00:00,5.33,9.67,5.45,24.12,16.55,14.45,14.45,,16.62
08/04/2016 13:00:00,9.77,17.47,1.88,19.81,14.8,9.37,4.86,,8.62
08/04/2016 14:00:00,6.33,13.86,6.13,16.26,10.92,9.04,4.86,15.79,6.36
08/04/2016 15:00:00,11.1,21.36,4.05,20.01,30.24,9.22,4.86,19.41,4.0
08/04/2016 16:00:00,8.5,19.48,8.98,12.86,72.16,7.24,7.93,27.39,7.82
08/04/2016 17:00:00,12.23,18.7,3.44,11.42,65.24,10.67,9.44,19.2,4.37
08/04/2016 18:00:00,22.1,10.67,12.95,8.75,194.72,12.57,12.57,8.23,86.67
08/04/2016 19:00:00,43.04,21.14,20.82,5.71,194.72,19.2,20.46,18.79,16.92
08/04/2016 20:00:00,59.42,14.19,25.57,18.42,194.72,32.36,32.36,15.94,43.36
08/04/2016 21:00:00,65.36,51.99,23.56,11.54,181.58,36.17,38.9,13.45,45.35
08/04/2016 22:00:00,68.04,57.8,27.03,6.96,194.72,52.05,46.5,27.3,45.35
08/04/2016 23:00:00,27.28,22.81,32.05,59.08,82.69,35.65,40.3,23.92,20.45
09/04/2016 00:00:00,25.16,18.6,6.42,56.43,45.35,33.68,32.86,14.07,12.82
09/04/2016 01:00:00,37.28,47.91,9.49,34.04,45.35,36.36,36.36,5.21,16.37
09/04/2016 02:00:00,19.7,14.82,5.29,49.89,45.35,27.23,24.08,14.5,12.73
09/04/2016 03:00:00,17.75,18.04,5.95,37.85,85.04,14.82,14.82,5.56,18.65
09/04/2016 04:00:00,6.47,14.74,2.35,53.3,42.35,16.34,16.34,3.92,10.53
09/04/2016 05:00:00,14.82,2.51,4.42,61.59,42.35,16.5,16.4,72.32,13.46
09/04/2016 06:00:00,20.77,26.33,8.35,43.54,55.91,23.62,23.62,7.28,12.64
09/04/2016 07:00:00,18.04,21.04,8.78,37.4,42.35,67.86,67.86,2.75,20.87
09/04/2016 08:00:00,65.69,41.42,12.26,36.57,42.35,70.75,70.75,22.79,21.55
09/04/2016 09:00:00,44.25,27.63,10.4,17.84,32.41,28.02,27.22,15.99,18.41
09/04/2016 10:00:00,26.54,10.33,8.7,11.24,69.26,24.02,24.18,18.0,21.9
09/04/2016 11:00:00,13.53,12.17,3.96,11.57,62.54,18.54,16.79,9.37,15.64
09/04/2016 12:00:00,8.99,13.91,3.8,8.9,50.63,10.45,13.46,12.77,13.49
09/04/2016 13:00:00,10.73,12.65,7.12,8.94,18.66,11.62,11.62,14.54,8.48
09/04/2016 14:00:00,27.53,10.34,8.12,12.48,76.14,9.5,8.08,11.37,10.24
09/04/2016 15:00:00,8.87,9.57,3.47,11.54,10.66,11.49,11.49,7.51,2.89
09/04/2016 16:00:00,10.19,21.32,6.9,17.92,8.99,11.81,11.18,25.67,5.15
09/04/2016 17:00:00,11.67,13.0,5.17,21.14,8.11,14.04,14.04,11.41,8.97
09/04/2016 18:00:00,17.13,24.02,30.56,33.25,11.42,17.19,17.19,29.28,10.11
09/04/2016 19:00:00,22.19,48.09,19.35,19.66,43.26,17.21,18.38,55.59,39.72
09/04/2016 20:00:00,23.67,41.23,11.93,45.86,34.6,24.95,24.95,14.94,21.71
09/04/2016 21:00:00,9.5,21.23,8.13,21.3,31.06,9.32,9.03,12.92,11.12
09/04/2016 22:00:00,11.99,12.73,8.95,15.71,29.42,12.78,12.78,15.94,24.95
09/04/2016 23:00:00,7.01,10.19,6.29,14.9,16.77,9.58,13.43,14.43,29.88
10/04/2016 00:00:00,5.5,16.49,7.73,11.64,50.91,14.43,12.76,10.91,27.71
10/04/2016 01:00:00,14.05,9.93,4.34,11.24,23.51,14.02,17.27,10.32,6.13
10/04/2016 02:00:00,8.65,10.02,4.93,10.03,44.92,14.59,15.49,6.41,10.19
10/04/2016 03:00:00,19.5,7.88,5.0,5.52,56.38,9.88,8.68,7.83,8.3
10/04/2016 04:00:00,6.32,7.35,3.34,17.23,40.26,13.93,13.93,7.38,9.34
10/04/2016 05:00:00,7.5,7.69,5.45,6.9,46.44,9.26,8.99,10.03,10.81
10/04/2016 06:00:00,8.1,8.83,4.53,10.89,16.48,10.13,10.11,11.27,8.28
10/04/2016 07:00:00,10.96,16.99,6.36,11.41,44.89,13.05,10.41,12.53,9.71
10/04/2016 08:00:00,9.19,19.71,13.26,14.63,18.12,13.6,13.51,14.22,24.36
10/04/2016 09:00:00,16.14,11.41,7.28,11.28,18.32,12.82,14.84,18.86,14.72
10/04/2016 10:00:00,12.84,13.61,3.98,15.56,89.63,14.59,13.34,15.72,15.49
10/04/2016 11:00:00,10.18,13.51,4.0,16.56,19.09,12.82,12.82,10.59,17.59
10/04/2016 12:00:00,10.85,11.58,6.45,10.95,45.74,11.65,10.46,9.85,13.25
10/04/2016 13:00:00,8.13,13.1,4.96,13.75,105.89,8.62,8.62,19.67,24.64
10/04/2016 14:00:00,9.26,10.98,6.52,9.3,62.92,10.36,7.49,10.05,9.36
10/04/2016 15:00:00,8.65,5.69,8.11,10.51,12.91,9.66,9.66,20.78,4.27
10/04/2016 16:00:00,9.03,21.02,6.75,22.84,26.98,10.21,10.36,28.5,4.16
10/04/2016 17:00:00,9.38,13.57,4.91,37.62,24.03,12.23,13.08,10.07,21.25
10/04/2016 18:00:00,15.99,16.87,4.82,31.99,53.45,11.86,9.91,21.95,12.46
10/04/2016 19:00:00,19.77,13.59,60.53,36.18,68.52,18.29,18.12,51.88,22.01
10/04/2016 20:00:00,48.89,54.85,13.64,38.37,110.31,40.42,40.42,26.38,28.21
10/04/2016 21:00:00,48.91,29.39,10.77,45.27,57.8,26.92,26.92,70.0,20.02
10/04/2016 22:00:00,32.57,28.28,7.31,39.83,46.06,32.86,32.86,15.23,23.94
10/04/2016 23:00:00,13.38,17.5,5.49,17.89,66.0,11.96,11.96,10.54,14.85
11/04/2016 00:00:00,7.06,8.32,8.64,9.21,34.34,7.76,7.76,8.78,17.1
11/04/2016 01:00:00,10.35,10.16,5.58,9.26,44.79,9.43,9.43,7.55,11.18
11/04/2016 02:00:00,8.23,7.94,5.38,6.2,38.55,8.8,11.77,9.82,10.08
11/04/2016 03:00:00,10.6,10.45,3.74,13.63,39.31,12.05,8.48,10.43,11.79
11/04/2016 04:00:00,7.78,12.39,24.93,12.21,27.58,12.22,12.22,10.33,11.63
11/04/2016 05:00:00,12.13,12.47,6.73,18.77,34.98,9.04,9.04,8.51,12.09
11/04/2016 06:00:00,10.38,9.32,8.73,13.07,20.73,15.46,16.23,17.35,9.32
11/04/2016 07:00:00,9.19,15.75,9.01,17.33,8.25,11.31,11.31,14.96,15.17
11/04/2016 08:00:00,13.65,15.79,5.65,13.19,18.08,18.68,18.68,12.1,4.24
12/04/2016 10:00:00,9.48,9.91,8.68,10.71,20.88,15.63,15.89,12.48,10.09
12/04/2016 11:00:00,4.83,12.91,7.04,11.41,5.9,13.23,15.89,10.58,7.59
12/04/2016 12:00:00,10.79,15.7,5.94,14.17,16.44,12.9,15.19,14.34,6.04
12/04/2016 13:00:00,9.03,16.87,8.54,12.51,14.74,8.97,6.75,18.88,6.38
12/04/2016 14:00:00,6.42,12.09,5.44,17.79,16.65,14.1,14.1,14.43,6.51
12/04/2016 15:00:00,11.89,11.19,4.96,6.9,3.9,11.52,9.46,7.69,7.79
12/04/2016 16:00:00,7.23,10.62,4.29,10.38,11.61,12.45,12.45,10.11,6.1
12/04/2016 17:00:00,6.79,7.33,6.75,5.3,15.88,20.29,48.63,4.91,10.24
12/04/2016 18:00:00,18.01,15.29,5.63,11.33,4.57,12.35,114.31,17.74,6.37
12/04/2016 19:00:00,27.07,18.49,10.25,18.55,6.7,15.7,121.32,17.42,20.59
12/04/2016 20:00:00,15.13,23.96,5.92,23.6,6.79,18.95,115.27,14.94,12.99
12/04/2016 21:00:00,27.99,22.39,5.81,7.38,26.43,21.52,118.89,20.03,13.1
12/04/2016 22:00:00,32.42,12.12,38.23,10.51,36.71,20.49,111.88,23.0,11.47
12/04/2016 23:00:00,8.89,10.86,5.24,10.97,10.58,14.37,116.14,7.25,8.46
13/04/2016 10:00:00,8.01,11.28,6.3,9.06,26.4,14.81,89.05,11.02,17.57
13/04/2016 11:00:00,6.07,8.98,4.78,5.23,3.9,13.02,89.47,11.43,6.71
13/04/2016 12:00:00,12.21,12.17,7.42,9.86,71.97,18.64,52.47,9.1,4.4
18/04/2016 13:00:00,9.36,14.82,5.9,12.65,9.64,10.29,-1,15.9,42.4
18/04/2016 14:00:00,6.95,15.26,5.22,13.88,6.85,15.84,-1,18.35,28.75
18/04/2016 15:00:00,35.34,18.88,7.14,20.35,37.54,14.55,178.69,23.87,3.36
18/04/2016 16:00:00,11.37,19.35,9.7,12.67,27.54,13.25,188.41,21.46,15.5
18/04/2016 17:00:00,10.12,17.25,27.43,15.54,55.72,17.32,-1,20.22,6.91
18/04/2016 18:00:00,15.02,24.66,17.27,29.98,6.3,22.29,-1,42.78,38.62
18/04/2016 19:00:00,30.05,28.77,21.16,23.27,48.43,37.81,-1,34.25,64.44
18/04/2016 20:00:00,31.49,47.3,17.01,39.7,42.77,68.73,-1,33.89,20.71
18/04/2016 21:00:00,14.5,17.66,24.07,99.52,31.08,76.78,-1,49.95,16.14
18/04/2016 22:00:00,14.24,10.25,15.12,33.03,50.36,26.58,162.63,37.28,45.09
18/04/2016 23:00:00,12.46,23.37,5.61,38.34,32.39,37.29,183.0,15.16,11.62
19/04/2016 00:00:00,39.27,32.38,18.64,21.67,59.95,55.68,168.56,23.26,15.55
19/04/2016 01:00:00,29.92,21.48,43.25,11.22,58.7,16.64,163.34,35.13,49.8
19/04/2016 02:00:00,13.35,29.07,13.07,35.38,51.05,23.75,-1,59.37,49.81
19/04/2016 03:00:00,11.83,31.84,15.61,27.18,48.28,23.36,-1,26.35,15.43
19/04/2016 04:00:00,17.05,20.81,22.23,11.43,69.33,25.34,180.44,30.49,29.96
19/04/2016 05:00:00,34.46,18.94,16.75,21.62,36.5,44.83,-1,20.38,45.37
19/04/2016 06:00:00,28.86,27.8,7.87,30.71,47.31,50.73,185.57,21.43,12.54
19/04/2016 07:00:00,11.26,41.6,34.24,30.21,36.77,55.14,177.41,21.64,45.8
19/04/2016 08:00:00,18.91,32.2,7.23,41.44,33.2,43.94,194.06,10.01,21.26
19/04/2016 09:00:00,22.25,24.5,14.89,38.53,60.32,30.23,196.66,46.38,38.99
19/04/2016 10:00:00,34.23,36.54,6.83,29.62,113.97,26.84,-1,47.36,28.46
19/04/2016 11:00:00,10.22,33.09,3.68,44.97,38.9,25.47,-1,,24.51
27/04/2016 10:00:00,11.11,29.21,9.0,14.59,20.02,23.88,106.61,14.15,24.21
27/04/2016 11:00:00,11.61,13.63,6.33,12.64,34.76,20.19,82.66,12.74,22.34
27/04/2016 12:00:00,6.01,13.28,3.77,9.42,7.77,15.27,91.86,13.05,12.1
27/04/2016 13:00:00,9.14,9.09,3.47,4.82,22.93,17.98,99.52,10.88,13.15
27/04/2016 14:00:00,7.78,13.17,14.15,21.06,15.27,21.1,72.84,13.61,19.98
27/04/2016 15:00:00,10.06,10.72,7.64,3.25,24.63,11.73,69.72,11.47,6.2
27/04/2016 16:00:00,13.4,11.6,2.98,4.03,10.29,17.46,69.28,9.84,7.21
27/04/2016 17:00:00,5.38,12.71,7.92,17.55,6.25,26.8,52.0,11.41,21.83
27/04/2016 18:00:00,4.21,13.34,22.42,19.09,6.41,29.36,39.38,8.74,11.87
27/04/2016 19:00:00,26.64,23.84,11.97,21.68,9.71,52.0,24.86,29.33,19.36
27/04/2016 20:00:00,26.65,25.26,20.87,58.38,8.81,108.31,29.45,54.46,21.77
27/04/2016 21:00:00,7.75,59.87,4.0,80.78,7.28,126.47,30.45,29.7,24.39
27/04/2016 22:00:00,26.5,39.9,4.42,39.09,9.03,126.47,35.85,,21.58
27/04/2016 23:00:00,11.26,30.01,6.22,86.61,19.58,122.13,35.45,6.35,24.02
28/04/2016 00:00:00,9.55,18.82,35.9,86.63,37.2,114.56,33.57,69.82,24.16
28/04/2016 01:00:00,15.85,50.78,3.02,75.82,25.42,44.94,34.38,34.11,22.5
28/04/2016 02:00:00,12.26,16.09,8.11,52.75,24.91,39.23,34.09,41.13,23.32
28/04/2016 03:00:00,20.96,46.13,3.19,57.88,29.3,46.17,32.78,33.76,23.45
28/04/2016 04:00:00,20.8,37.79,8.27,48.63,31.86,85.45,34.57,11.4,23.6
28/04/2016 05:00:00,14.28,32.88,4.54,82.84,26.66,108.2,35.12,29.35,31.36
28/04/2016 06:00:00,27.32,48.56,8.72,59.45,46.32,133.56,38.97,11.77,23.13
28/04/2016 07:00:00,29.12,64.58,13.74,55.89,41.42,81.7,46.34,28.44,34.86
28/04/2016 08:00:00,25.88,45.48,13.8,53.79,44.31,41.14,63.77,31.8,34.27
28/04/2016 09:00:00,11.34,30.65,8.63,27.42,46.47,21.85,89.44,35.11,29.44
28/04/2016 10:00:00,17.72,14.86,3.56,16.21,35.23,10.94,101.59,20.62,22.57
07/06/2016 08:00:00,15.23,12.84,7.57,14.81,28.13,19.75,90.7,12.1,20.96
07/06/2016 09:00:00,11.02,9.56,3.32,7.09,7.51,17.07,108.5,9.84,15.16
07/06/2016 10:00:00,11.43,11.68,5.33,6.54,17.5,18.52,107.47,9.34,14.96
07/06/2016 11:00:00,5.26,8.47,4.11,6.98,26.27,13.91,100.79,9.14,16.35
07/06/2016 12:00:00,9.98,3.98,4.91,4.2,56.28,11.51,85.85,9.04,7.17
07/06/2016 13:00:00,14.14,10.45,3.47,9.53,3.62,12.25,113.68,9.04,7.54
07/06/2016 14:00:00,5.31,11.53,3.38,9.75,2.18,11.09,123.11,8.92,5.41
07/06/2016 15:00:00,7.72,10.59,4.39,7.12,50.11,11.0,104.87,9.82,4.22
07/06/2016 16:00:00,8.27,13.51,20.37,6.63,30.75,11.89,118.14,8.75,4.77
07/06/2016 17:00:00,7.76,9.78,4.73,10.84,27.02,10.58,123.39,7.38,7.14
07/06/2016 18:00:00,9.38,12.51,3.67,12.95,29.52,15.01,128.52,8.19,7.67
07/06/2016 19:00:00,5.83,19.16,3.21,15.45,12.86,17.07,116.41,17.17,11.83
07/06/2016 20:00:00,29.27,16.04,9.89,14.25,35.27,17.75,93.44,14.07,17.5
07/06/2016 21:00:00,12.21,12.21,7.35,9.64,45.87,20.73,75.42,14.36,16.74
07/06/2016 22:00:00,9.83,9.32,2.85,15.74,8.27,16.9,106.64,8.04,12.34
07/06/2016 23:00:00,25.45,14.47,4.27,9.11,52.92,18.02,109.29,10.65,18.56
08/06/2016 00:00:00,13.97,7.66,12.34,13.2,13.01,21.6,91.54,17.62,22.53
08/06/2016 01:00:00,8.24,13.4,7.01,19.74,30.29,20.32,82.89,15.46,15.89
08/06/2016 02:00:00,21.25,19.12,4.36,22.31,37.86,20.6,84.04,8.96,18.4
08/06/2016 03:00:00,11.16,11.36,16.75,33.91,33.85,19.33,71.38,25.62,16.32
08/06/2016 04:00:00,11.21,15.14,9.15,26.58,44.85,15.69,79.28,17.57,24.14
08/06/2016 05:00:00,12.43,15.01,3.22,14.95,30.31,18.87,100.49,19.8,13.06
08/06/2016 06:00:00,6.84,15.83,3.32,15.03,32.12,17.3,97.93,9.32,13.72
08/06/2016 07:00:00,10.59,14.01,9.23,10.86,38.96,20.66,94.35,12.54,27.67
08/06/2016 08:00:00,7.38,10.97,17.56,8.65,13.71,21.64,109.47,13.95,17.7
08/06/2016 09:00:00,15.51,8.02,10.46,5.85,12.14,15.27,126.49,11.28,53.41
08/06/2016 10:00:00,28.53,13.66,4.82,5.82,39.59,16.77,122.65,11.5,16.66
08/06/2016 11:00:00,10.15,9.46,2.96,7.17,48.64,12.21,166.73,9.1,15.5
08/06/2016 12:00:00,30.06,8.29,5.38,7.69,36.52,12.17,146.37,8.43,28.42
08/06/2016 13:00:00,10.2,11.39,3.63,7.13,44.45,13.38,157.29,9.64,16.06
08/06/2016 14:00:00,9.58,32.82,5.86,9.51,13.34,12.35,161.51,11.97,12.18
09/06/2016 08:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 09:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 10:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 11:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 12:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 13:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 14:00:00,26.69,4.1,9.64,28.68,,13.38,80.88,3.5,
09/06/2016 15:00:00,24.81,5.4,9.13,28.68,17.1,13.38,79.98,4.88,9.64
09/06/2016 16:00:00,7.29,13.43,3.65,10.73,26.03,15.51,121.45,15.64,15.6
09/06/2016 17:00:00,12.84,13.68,3.36,8.27,23.23,14.93,85.99,12.12,8.05
09/06/2016 18:00:00,9.1,10.67,7.84,8.63,20.91,17.1,86.8,11.41,8.11
09/06/2016 19:00:00,26.06,10.33,4.17,20.72,13.55,22.86,101.47,8.58,12.66
09/06/2016 20:00:00,27.98,10.8,6.92,8.04,53.48,21.56,83.36,13.66,21.59
09/06/2016 21:00:00,43.95,13.28,22.08,11.26,15.27,25.82,99.93,44.13,11.85
09/06/2016 22:00:00,12.36,8.9,29.75,30.11,41.64,36.93,79.4,27.09,26.37
09/06/2016 23:00:00,16.27,24.46,11.25,33.13,41.28,60.08,95.9,8.56,20.82
10/06/2016 00:00:00,9.48,12.26,8.23,23.56,30.55,33.25,94.28,25.99,17.39
10/06/2016 01:00:00,20.44,15.35,13.49,15.61,23.1,18.97,102.35,15.61,18.04
10/06/2016 02:00:00,12.75,13.83,5.42,14.98,25.72,16.63,109.14,14.2,13.54
10/06/2016 03:00:00,12.45,12.39,7.46,14.61,30.11,19.79,91.25,8.22,13.27
10/06/2016 04:00:00,12.26,11.06,5.43,13.5,20.38,16.29,102.68,11.73,13.94
10/06/2016 05:00:00,29.27,14.62,20.13,13.43,15.72,18.65,96.68,12.22,11.64
10/06/2016 06:00:00,28.82,27.16,5.92,17.52,27.28,31.62,90.99,8.5,16.53
10/06/2016 07:00:00,16.1,12.4,7.53,20.39,19.31,25.61,102.0,12.86,25.01
10/06/2016 08:00:00,6.16,8.63,7.2,18.6,9.02,20.41,117.37,6.57,17.22
10/06/2016 09:00:00,5.38,11.52,5.09,15.93,11.03,17.7,128.83,13.04,29.55
10/06/2016 10:00:00,15.06,9.04,10.3,7.15,41.61,19.09,139.71,14.98,19.42
10/06/2016 11:00:00,5.77,24.03,2.94,11.89,7.99,17.46,159.92,9.9,17.99
10/06/2016 12:00:00,24.44,9.81,4.94,10.04,8.59,14.63,174.29,9.26,19.38
10/06/2016 13:00:00,14.28,8.02,3.6,2.66,9.53,14.47,190.95,12.01,19.25
10/06/2016 14:00:00,14.66,10.94,3.9,2.93,8.96,13.53,156.23,9.75,20.95
10/06/2016 15:00:00,18.91,12.48,3.99,2.79,10.37,12.56,121.01,10.38,18.21
10/06/2016 16:00:00,21.07,17.05,3.85,2.95,3.25,13.36,73.59,10.65,8.97
10/06/2016 17:00:00,45.26,13.03,3.8,2.69,0.99,20.89,32.8,10.76,10.43
10/06/2016 18:00:00,53.59,20.33,4.07,2.7,2.14,24.02,24.26,11.96,10.53
10/06/2016 19:00:00,68.92,21.38,3.57,2.26,1.47,31.3,7.84,14.68,14.16
10/06/2016 20:00:00,72.38,37.07,4.46,2.75,3.32,72.12,9.11,13.1,18.37
10/06/2016 21:00:00,60.43,24.49,4.21,2.51,2.75,40.45,15.96,11.04,14.92
10/06/2016 22:00:00,56.5,25.48,4.22,2.58,2.61,24.77,12.64,11.02,13.52
10/06/2016 23:00:00,34.43,26.96,4.13,2.88,7.32,24.03,28.74,10.9,8.87
11/06/2016 00:00:00,14.54,17.31,3.53,2.95,11.64,13.76,47.89,8.69,7.33
11/06/2016 01:00:00,15.16,14.35,3.58,3.82,18.18,13.29,48.76,10.47,8.43
11/06/2016 02:00:00,18.37,14.36,3.52,2.81,5.02,14.43,44.34,10.54,9.21
11/06/2016 03:00:00,14.11,16.21,3.71,2.78,5.01,14.45,40.84,9.85,9.87
11/06/2016 04:00:00,28.37,12.79,3.64,2.89,2.92,18.46,26.66,9.8,9.28
11/06/2016 05:00:00,34.39,13.4,3.46,2.51,1.79,19.66,20.15,11.69,7.58
11/06/2016 06:00:00,35.23,16.19,3.55,2.68,4.58,25.36,9.97,10.42,10.65
11/06/2016 07:00:00,40.15,34.32,3.73,2.68,19.12,24.78,32.09,8.28,17.88
11/06/2016 08:00:00,41.32,35.14,4.42,2.75,25.1,23.16,44.88,9.26,22.57
11/06/2016 09:00:00,43.69,26.45,4.08,2.92,12.01,22.85,42.58,10.93,21.96
11/06/2016 10:00:00,33.02,19.81,3.97,2.89,6.01,21.04,51.69,11.21,22.06
11/06/2016 11:00:00,28.18,21.0,3.86,2.66,5.75,17.36,55.08,10.42,17.28
11/06/2016 12:00:00,28.84,21.7,4.31,3.25,16.17,18.91,73.63,9.21,16.84
11/06/2016 13:00:00,26.02,22.03,4.26,2.71,4.61,16.14,103.32,10.56,19.37
11/06/2016 14:00:00,18.97,20.87,4.1,2.78,3.92,12.65,112.39,10.45,13.64
11/06/2016 15:00:00,12.35,20.3,3.77,2.84,4.46,11.98,89.11,10.09,10.4
11/06/2016 16:00:00,15.04,17.23,3.84,2.76,2.74,13.95,85.92,9.72,8.19
11/06/2016 17:00:00,20.95,22.5,3.92,2.89,2.87,11.24,97.67,10.98,10.18
11/06/2016 18:00:00,31.56,22.09,4.21,3.03,3.63,13.79,95.03,12.18,12.16
11/06/2016 19:00:00,39.14,19.04,4.24,2.6,2.04,14.18,64.58,10.83,8.42
11/06/2016 20:00:00,25.19,17.2,4.05,2.5,1.21,15.19,50.18,11.93,4.37
11/06/2016 21:00:00,24.08,16.03,4.16,2.57,0.71,14.38,46.75,13.22,3.96
11/06/2016 22:00:00,44.16,22.09,4.09,2.62,1.21,17.43,31.25,10.91,7.96
11/06/2016 23:00:00,41.55,18.41,4.04,2.78,2.67,17.6,34.06,11.42,5.9
12/06/2016 00:00:00,33.98,14.25,3.79,2.75,3.76,17.86,36.51,9.78,4.75
12/06/2016 01:00:00,45.08,17.36,3.6,2.65,3.43,18.23,24.09,12.92,5.49
12/06/2016 02:00:00,49.85,16.32,3.72,2.48,5.25,26.7,17.55,13.63,7.44
12/06/2016 03:00:00,46.42,17.39,3.57,2.51,8.71,26.43,17.49,13.25,6.6
12/06/2016 04:00:00,38.52,15.69,3.65,2.55,6.29,19.3,19.77,10.77,6.24
12/06/2016 05:00:00,45.98,23.96,4.03,2.45,4.72,37.53,15.59,12.52,6.2
12/06/2016 06:00:00,40.49,21.48,4.04,2.76,3.92,29.27,18.55,11.42,6.21
12/06/2016 07:00:00,26.66,16.26,3.95,2.79,7.62,17.89,38.5,11.2,5.86
12/06/2016 08:00:00,25.37,12.96,3.93,2.73,6.09,16.32,49.43,9.6,9.46
12/06/2016 09:00:00,20.4,10.62,3.79,2.67,4.37,15.84,66.81,10.82,12.28
12/06/2016 10:00:00,16.25,13.8,3.59,2.6,2.89,13.94,68.03,10.34,9.11
12/06/2016 11:00:00,14.76,16.32,3.82,2.63,3.07,13.39,77.9,10.5,8.85
12/06/2016 12:00:00,16.05,12.75,3.66,2.98,3.32,10.86,95.44,11.15,9.66
12/06/2016 13:00:00,15.0,7.51,3.63,2.74,3.2,12.14,95.13,10.26,7.4
12/06/2016 14:00:00,16.63,12.84,3.74,2.96,4.3,11.19,114.28,10.18,8.76
12/06/2016 15:00:00,18.36,12.02,3.8,2.82,5.07,10.38,115.16,11.55,7.12
12/06/2016 16:00:00,18.45,7.54,4.16,2.51,4.18,11.26,106.62,10.23,4.2
12/06/2016 17:00:00,22.81,7.95,4.22,2.62,2.76,11.89,84.63,9.39,2.54
12/06/2016 18:00:00,26.98,17.2,4.14,2.6,2.63,12.42,73.51,12.24,5.71
12/06/2016 19:00:00,42.22,26.82,4.0,2.81,2.06,14.77,49.57,12.1,6.28
12/06/2016 20:00:00,56.52,30.2,4.1,2.68,3.45,18.84,38.36,14.78,7.03
12/06/2016 21:00:00,55.3,27.07,3.88,2.71,6.54,16.31,34.19,13.44,5.85
12/06/2016 22:00:00,44.86,19.87,4.09,2.47,5.73,16.3,35.44,14.0,3.5
12/06/2016 23:00:00,44.57,17.1,3.97,2.52,5.11,16.45,34.7,13.6,2.98
13/06/2016 00:00:00,39.09,17.56,4.0,2.76,3.89,16.35,30.37,11.92,5.45
13/06/2016 01:00:00,40.46,20.83,3.9,2.8,7.41,14.5,31.38,12.68,4.14
13/06/2016 02:00:00,32.17,17.37,3.84,2.76,5.72,14.22,36.99,10.98,2.58
13/06/2016 03:00:00,33.3,15.41,3.95,2.84,6.46,14.16,33.95,12.47,4.1
13/06/2016 04:00:00,25.33,12.79,3.78,2.66,6.6,14.32,39.52,13.8,3.98
13/06/2016 05:00:00,30.69,25.25,4.18,2.46,7.96,17.61,28.46,11.43,6.78
13/06/2016 06:00:00,33.81,23.01,4.08,2.77,6.36,21.1,23.11,10.46,9.74
